,list,Weighted_precision,Weighted_recall,Weighted_f1-score,Macro_precision,Macro_recall,Macro_f1-score,Micro_precision,Micro_recall,Micro_f1-score
0,"[0, 1, 2, 3, 4]",0.2714437770381638,0.227,0.24544933264908322,0.21349447630023793,0.18648163265306122,0.19677549011011505,0.227,0.227,0.227
1,"[0, 1, 2, 4, 3]",0.37930540456588724,0.329,0.3499655642035575,0.30727709208627835,0.2761755102040816,0.28815541734873024,0.329,0.329,0.329
2,"[0, 1, 3, 2, 4]",0.2546063453441747,0.209,0.22597903753430879,0.20182390643294673,0.17884081632653062,0.18451387738087288,0.209,0.209,0.209
3,"[0, 1, 3, 4, 2]",0.3631241984768942,0.314,0.3332721559930735,0.2926840007513838,0.2665755102040816,0.2742431463391542,0.314,0.314,0.314
4,"[0, 1, 4, 2, 3]",0.27019057561162413,0.216,0.23891808344551438,0.2080331367003962,0.16904081632653062,0.1854185393379238,0.216,0.216,0.216
5,"[0, 1, 4, 3, 2]",0.27084680121662025,0.219,0.2416949703498048,0.20511061523279275,0.16708163265306122,0.18376788105758993,0.219,0.219,0.21899999999999997
6,"[0, 2, 1, 3, 4]",0.24246192323880303,0.218,0.22203010094064862,0.2147214069116412,0.21991020408163267,0.2084396295594148,0.218,0.218,0.218
7,"[0, 2, 1, 4, 3]",0.35032355076652644,0.32,0.3265463324951229,0.3085040226976816,0.30960408163265307,0.29981955679803,0.32,0.32,0.32
8,"[0, 2, 3, 1, 4]",0.14713173455955775,0.115,0.12463709667002733,0.11957315893320453,0.10761632653061223,0.10744646632773276,0.115,0.115,0.115
9,"[0, 2, 3, 4, 1]",0.3027241572355291,0.255,0.2719872241921627,0.24763811973272207,0.22300408163265306,0.22880818556495158,0.255,0.255,0.255
10,"[0, 2, 4, 1, 3]",0.16271596482700718,0.122,0.13757614258123294,0.12578238920065396,0.09781632653061224,0.10835112828478366,0.122,0.122,0.122
11,"[0, 2, 4, 3, 1]",0.21044675997525517,0.16,0.1804100385488941,0.16006473421413106,0.12351020408163264,0.13833292028338728,0.16,0.16,0.16
12,"[0, 3, 1, 2, 4]",0.15695304345738229,0.157,0.1518818605750208,0.15165544282108692,0.17358367346938777,0.15587399625917514,0.157,0.157,0.157
13,"[0, 3, 1, 4, 2]",0.2654708965901018,0.262,0.2591749790337855,0.24251553713952392,0.26131836734693875,0.24560326521745646,0.262,0.262,0.262
14,"[0, 3, 2, 1, 4]",0.07846028647212605,0.072,0.07395915141917397,0.06817776470994145,0.06893061224489797,0.06714244575673527,0.072,0.072,0.072
15,"[0, 3, 2, 4, 1]",0.23405270914809745,0.212,0.2213092789413094,0.19624272550945898,0.18431836734693877,0.1885041649939541,0.212,0.212,0.212
16,"[0, 3, 4, 1, 2]",0.07786331065058254,0.064,0.0702047891198956,0.05979390364249628,0.04953061224489796,0.05413483670421013,0.064,0.064,0.064
17,"[0, 3, 4, 2, 1]",0.12493788019383442,0.099,0.11026179818326629,0.0969987701235768,0.07718367346938776,0.0857672869831476,0.099,0.099,0.099
18,"[0, 4, 1, 2, 3]",0.1256622737248317,0.142,0.12932265752092875,0.13822181594567923,0.17286938775510205,0.14918780907809898,0.142,0.142,0.142
19,"[0, 4, 1, 3, 2]",0.1263184993298278,0.145,0.13209954442521915,0.13529929447807582,0.17091020408163266,0.1475371507977651,0.145,0.145,0.145
20,"[0, 4, 2, 1, 3]",0.04716951673957551,0.057,0.051399948365081924,0.05474413783453376,0.06821632653061224,0.060456258575659096,0.057,0.057,0.057
21,"[0, 4, 2, 3, 1]",0.0949003118878235,0.095,0.09423384433274305,0.08902648284801083,0.09391020408163266,0.09043805057426271,0.095,0.095,0.095
22,"[0, 4, 3, 1, 2]",0.030988310650582534,0.042,0.03470654015459792,0.04015104649963914,0.05861632653061224,0.04654398756608306,0.042,0.042,0.042
23,"[0, 4, 3, 2, 1]",0.07806288019383442,0.077,0.0747635492179686,0.07735591298071967,0.08626938775510204,0.07817643784502053,0.077,0.077,0.077
24,"[1, 0, 2, 3, 4]",0.10371433375840604,0.098,0.0993406378054787,0.09412573649124656,0.09495782312925169,0.09292515953911105,0.098,0.098,0.09800000000000002
25,"[1, 0, 2, 4, 3]",0.2115759612861295,0.2,0.20385686935995298,0.18790835227728703,0.1846517006802721,0.18430508677772622,0.2,0.2,0.20000000000000004
26,"[1, 0, 3, 2, 4]",0.08687690206441698,0.08,0.07987034269070425,0.08245516662395538,0.0873170068027211,0.08066354680986887,0.08,0.08,0.08
27,"[1, 0, 3, 4, 2]",0.1953947551971365,0.185,0.187163461149469,0.1733152609423924,0.1750517006802721,0.17039281576815019,0.185,0.185,0.185
28,"[1, 0, 4, 2, 3]",0.10246113233186642,0.087,0.09280938860190988,0.08866439689140482,0.07751700680272108,0.08156820876691977,0.087,0.087,0.087
29,"[1, 0, 4, 3, 2]",0.10311735793686254,0.09,0.0955862755062003,0.08574187542380138,0.0755578231292517,0.07991755048658591,0.09,0.09,0.09
30,"[1, 2, 0, 3, 4]",0.21623609048781303,0.169,0.1875762073665144,0.17257139526477422,0.14124353741496598,0.153092405365662,0.169,0.169,0.169
31,"[1, 2, 0, 4, 3]",0.32409771801553644,0.271,0.2920924389209887,0.26635401105081463,0.23093741496598635,0.24447233260427711,0.271,0.271,0.271
